product_url,product_name,mrp,rating,no_of_reviews,description
https://www.homedepot.com/p/Ring-Floodlight-Cam-Wired-Plus-Smart-Security-Video-Camera-with-2-LED-Lights-2-Way-Talk-Color-Night-Vision-White-B08F6GPQQ7/316405255,"Floodlight Cam Wired Plus - Smart Security Video Camera with 2 LED Lights, 2-Way Talk, Color Night Vision, White",199,4.7,686,"Hardwired outdoor security camera with 1080p HD Video
Motion-activated LED lights, 105db siren, custom motion zones
Two-way talk, mobile notifications, color night vision
"
https://www.homedepot.com/p/Schlage-Camelot-Satin-Nickel-Encode-Wifi-Electronic-Touchscreen-Door-Deadbolt-Alarmed-Lock-BE489WB-V-CAM-619/308709980,Camelot Satin Nickel Encode Wifi Electronic Touchscreen Door Deadbolt Alarmed Lock,289,4.6,691,"WiFi pairing with Schlage Home app, Alexa, and Google Assistant
NOT compatible with Apple Home Kit.
Control and Monitor your home anywhere with the Schlage Home app
"
https://www.homedepot.com/p/Ring-Video-Doorbell-Smart-Wireless-WiFi-Doorbell-Camera-with-Built-in-Battery-2-Way-Talk-Night-Vision-Satin-Nickel-8VRASZ-SEN0/315429825,"Video Doorbell - Smart Wireless WiFi Doorbell Camera with Built-in Battery, 2-Way Talk, Night Vision, Satin Nickel",69,4.6,2595,"Built-in rechargeable battery video doorbell with 1080p HD Video
Easy install, privacy zones, and improved motion detection
2-way talk, mobile notifications, adjustable motion zones
"
https://www.homedepot.com/p/Blink-Wireless-Outdoor-5-Camera-System-B086DKGCFP/314750035,Wireless Outdoor 5-Camera System,189,4,946,"Battery-powered cameras provide HD security day and night
Long-lasting cameras run for up to 2 years on 2 AA batteries
Set up in minutes and control with app or Alexa
"
https://www.homedepot.com/p/Ring-Floodlight-Cam-Wired-Pro-Smart-Security-Video-Camera-with-2-LED-Lights-Dual-Band-Wifi-3D-Motion-Detection-White-B08FCWRXQR/315975459,"Floodlight Cam Wired Pro - Smart Security Video Camera with 2 LED Lights, Dual Band Wifi, 3D Motion Detection, White",219,4.7,349,"Motion-activated, HDR camera with built-in LED floodlight.
Pinpoint movement with 3D Motion Detection and Bird's Eye View.
Two-Way Talk with Audio+, dual-band wifi and a 110dB siren alarm.
"
https://www.homedepot.com/p/Google-Nest-Learning-Thermostat-Smart-Wi-Fi-Thermostat-Stainless-Steel-T3007ES/206391087,Nest Learning Thermostat - Smart Wi-Fi Thermostat - Stainless Steel,249,4.8,22855,"Learns your favorite temperature settings and adjusts
Saves on energy bills: up to 12% on heating and 15% on cooling
Control remotely through smart device and set up alerts
"
https://www.homedepot.com/p/Schlage-Century-Matte-Black-Electronic-Encode-Smart-WiFi-Deadbolt-with-Alarm-BE489WB-CEN-622/307452116,Century Matte Black Electronic Encode Smart WiFi Deadbolt with Alarm,236,4.4,222,"WiFi pairing with Schlage Home app, Alexa, and Google Assistant
NOT compatible with Apple Home Kit.
Keyless entry and control from anywhere with the Schlage Home app
"
https://www.homedepot.com/p/Ring-Stick-Up-Cam-Battery-Indoor-Outdoor-Smart-Security-Wifi-Video-Camera-with-2-Way-Talk-Night-Vision-White-8SC1S9-WEN0/310861398,"Stick Up Cam Battery - Indoor/Outdoor Smart Security Wifi Video Camera with 2-Way Talk, Night Vision, White",69,4.5,1387,"Battery powered indoor/outdoor security camera w/ 1080p HD Video
Versatile mounting, privacy zones, advanced motion detection
Two-way talk, mobile notifications, customizable motion zones
"
https://www.homedepot.com/p/Ring-Video-Doorbell-Pro-2-Smart-Wired-WiFi-Doorbell-Cam-with-Head-to-Toe-HD-Video-Bird-s-Eye-View-and-3D-Motion-Detection-B086Q54K53/315964729,"Video Doorbell Pro 2 - Smart Wired WiFi Doorbell Cam with Head-to-Toe HD Video, Bird's Eye View, and 3D Motion Detection",174,4.8,324,"Hardwired video doorbell with 1536p HD Head to Toe Video
Dual-band wifi, 3D Motion Detection, requires doorbell wiring
HD Audio, Two-Way Talk, built-in Alexa Greetings, Birds Eye View
"
https://www.homedepot.com/p/Google-Nest-Cam-with-Floodlight-Wired-Outdoor-Smart-Home-Security-Camera-GA02411-US/317817123,Nest Cam with Floodlight - Wired Outdoor Smart Home Security Camera,279,4.5,335,"Know and see what’s relevant with built-intelligent alerts
Adjust brightness, sensitivity, and how long the light stays on
Works with Google Home App
"
